country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","08-04-2025 20:00:00",25.204762,85.514960,CO,10,12,11
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","08-04-2025 20:00:00",25.204762,85.514960,OZONE,21,37,31
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","08-04-2025 20:00:00",25.567520,83.966379,PM10,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","08-04-2025 20:00:00",25.567520,83.966379,NO2,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","08-04-2025 20:00:00",25.7808257,84.7446768,NO2,4,127,24
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","08-04-2025 20:00:00",25.7808257,84.7446768,NH3,4,9,5
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","08-04-2025 20:00:00",25.7808257,84.7446768,SO2,2,104,16
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-04-2025 20:00:00",24.7955,84.9994,PM2.5,30,211,88
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","08-04-2025 20:00:00",24.792403,84.992416,PM10,88,203,130
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","08-04-2025 20:00:00",16.554731,80.649110,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","08-04-2025 20:00:00",16.554731,80.649110,CO,34,44,38
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-04-2025 20:00:00",17.72,83.3,NH3,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-04-2025 20:00:00",17.72,83.3,CO,8,114,61
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-04-2025 20:00:00",26.071318,91.87488,PM10,53,438,232
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-04-2025 20:00:00",26.071318,91.87488,CO,41,60,54
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-04-2025 20:00:00",26.071318,91.87488,OZONE,21,66,38
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-04-2025 20:00:00",11.654054,92.734055,PM10,5,35,16
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-04-2025 20:00:00",11.654054,92.734055,CO,12,59,16
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","08-04-2025 20:00:00",16.5150833,80.5181667,NH3,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","08-04-2025 20:00:00",14.675886,77.593027,CO,15,20,19
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","08-04-2025 20:00:00",13.204880,79.097889,PM2.5,37,91,63
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","08-04-2025 20:00:00",26.987634,94.636574,PM2.5,9,97,72
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","08-04-2025 20:00:00",26.987634,94.636574,PM10,65,98,86
